G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
20200917HHWO0,20200917,HH,WO,T,76753,1,0,0,0,0,0,0,0,1
20200917HHWO0,20200917,HH,WO,T,50730,4,1,0,1,0,0,0,0,2
20200917HHWO0,20200917,HH,WO,T,62700,3,0,1,1,0,0,0,1,0
20200917HHWO0,20200917,HH,WO,T,63704,4,0,1,1,0,0,0,0,1
20200917HHWO0,20200917,HH,WO,T,50707,3,0,0,0,0,0,0,0,2
20200917HHWO0,20200917,HH,WO,T,74163,1,0,0,0,0,0,0,0,0
20200917HHWO0,20200917,HH,WO,T,73136,3,0,0,0,0,0,0,0,3
20200917HTSS0,20200917,HT,SS,T,64984,5,0,1,1,0,0,0,0,2
20200917HTSS0,20200917,HT,SS,T,64646,4,1,2,2,1,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,63722,5,1,1,1,0,0,0,0,2
20200917HTSS0,20200917,HT,SS,T,65610,1,0,0,0,0,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,62265,4,0,0,1,0,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,66657,1,0,0,0,0,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,69636,0,0,0,0,0,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,78643,0,0,0,0,0,0,0,1,0
20200917HTSS0,20200917,HT,SS,T,78629,3,0,0,1,1,0,0,1,1
20200917HTSS0,20200917,HT,SS,T,66606,5,1,2,4,2,0,0,0,0
20200917HTSS0,20200917,HT,SS,T,78603,2,1,2,1,0,0,0,1,0
20200917HTSS0,20200917,HT,SS,T,69652,5,6,2,2,0,0,2,0,0
20200917HTSS0,20200917,HT,SS,T,72443,4,1,2,2,0,0,1,0,1
20200917HTSS0,20200917,HT,SS,T,66614,1,0,0,1,0,0,0,0,0
20200917KTOB0,20200917,KT,OB,B,64166,4,0,1,1,0,0,0,0,2
20200917KTOB0,20200917,KT,OB,B,64012,0,0,0,0,0,0,0,0,0
20200917KTOB0,20200917,KT,OB,B,73113,4,0,0,1,0,0,0,0,2
20200917KTOB0,20200917,KT,OB,B,64868,3,0,0,0,0,0,0,1,0
20200917KTOB0,20200917,KT,OB,B,62802,0,0,0,0,0,0,0,0,0
20200917KTOB0,20200917,KT,OB,B,74339,4,0,0,0,0,0,0,0,1
20200917KTOB0,20200917,KT,OB,B,68050,4,1,0,1,0,0,0,0,2
20200917KTOB0,20200917,KT,OB,B,67025,2,0,0,0,0,0,0,2,0
20200917KTOB0,20200917,KT,OB,B,76313,4,2,1,3,0,1,0,0,0
20200917KTOB0,20200917,KT,OB,B,No_Code,0,0,0,0,0,0,0,0,0
20200917KTOB0,20200917,KT,OB,B,64006,2,0,0,1,0,0,0,0,1
20200917KTOB0,20200917,KT,OB,B,78548,4,0,1,2,1,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,64100,0,0,0,0,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,66108,4,0,1,0,0,0,0,1,0
20200917LGLT0,20200917,LG,LT,B,79109,3,0,1,0,0,0,0,1,1
20200917LGLT0,20200917,LG,LT,B,78135,0,0,0,0,0,0,0,1,0
20200917LGLT0,20200917,LG,LT,B,50165,3,0,2,1,0,0,0,1,1
20200917LGLT0,20200917,LG,LT,B,78217,1,0,0,0,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,76290,4,5,2,2,0,0,1,0,1
20200917LGLT0,20200917,LG,LT,B,65207,0,0,0,0,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,72133,4,1,2,2,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,61186,4,2,1,2,0,0,1,0,1
20200917LGLT0,20200917,LG,LT,B,64115,0,0,0,0,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,No_Code,3,0,0,1,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,61102,4,1,0,0,0,0,0,0,1
20200917LGLT0,20200917,LG,LT,B,79150,2,0,0,0,0,0,0,0,1
20200917LGLT0,20200917,LG,LT,B,69100,1,0,0,0,0,0,0,0,0
20200917LGLT0,20200917,LG,LT,B,66113,1,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,64504,1,0,0,0,0,0,0,0,1
20200917LTLG0,20200917,LT,LG,T,76249,1,0,1,1,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,76100,3,0,0,1,1,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,78513,3,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,65506,1,0,0,0,0,0,0,0,1
20200917LTLG0,20200917,LT,LG,T,77532,3,0,0,1,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,60523,4,0,0,1,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,50506,3,0,0,1,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,62556,1,0,0,0,0,0,0,0,1
20200917LTLG0,20200917,LT,LG,T,61204,1,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,79608,2,0,0,1,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,62558,1,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,65514,0,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,61566,1,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,68518,1,0,0,0,0,0,0,0,0
20200917LTLG0,20200917,LT,LG,T,71564,4,0,0,0,0,0,0,0,1
20200917LTLG0,20200917,LT,LG,T,68525,4,1,0,2,1,0,0,0,1
20200917NCSK0,20200917,NC,SK,T,62931,4,0,0,1,0,0,0,0,1
20200917NCSK0,20200917,NC,SK,T,No_Code,2,0,0,1,0,0,0,0,1
20200917NCSK0,20200917,NC,SK,T,50923,4,1,1,2,0,0,1,0,2
20200917NCSK0,20200917,NC,SK,T,62934,4,1,1,1,0,0,1,0,0
20200917NCSK0,20200917,NC,SK,T,62925,4,0,0,0,0,0,0,0,0
20200917NCSK0,20200917,NC,SK,T,76232,3,0,0,1,0,0,0,1,0
20200917NCSK0,20200917,NC,SK,T,62907,4,1,0,1,1,0,0,0,0
20200917NCSK0,20200917,NC,SK,T,73306,1,0,0,0,0,0,0,0,1
20200917NCSK0,20200917,NC,SK,T,69992,0,0,0,0,0,0,0,0,0
20200917NCSK0,20200917,NC,SK,T,62025,0,0,0,0,0,0,0,1,0
20200917NCSK0,20200917,NC,SK,T,76849,3,0,1,1,0,0,0,1,0
20200917NCSK0,20200917,NC,SK,T,63963,2,0,0,1,0,0,0,0,0
20200917NCSK0,20200917,NC,SK,T,68912,0,0,0,0,0,0,0,0,0
20200917NCSK0,20200917,NC,SK,T,63920,3,0,0,0,0,0,0,0,1
