G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200830LTHH0,20200830,LT,HH,B,34,5,6,10,3,0,0,2,3,6,1,1,7
20200901LTKT0,20200901,LT,KT,T,29,2,2,6,1,0,0,0,6,3,2,1,6
20200903LTHT0,20200903,LT,HT,B,30,3,3,5,2,0,0,1,3,6,1,0,3
20200904LTHT0,20200904,LT,HT,B,29,3,3,5,0,0,0,0,6,10,2,2,6
20200904LTHT1,20200904,LT,HT,B,34,7,9,14,0,0,2,1,3,4,3,0,5
20200906LTLG0,20200906,LT,LG,B,29,1,1,3,1,0,0,0,4,4,1,2,5
20200907LTLG0,20200907,LT,LG,B,39,12,12,16,6,0,2,0,6,4,1,1,9
20200908LTNC0,20200908,LT,NC,T,33,2,2,6,1,0,0,1,5,6,0,1,9
20200909LTNC0,20200909,LT,NC,T,36,7,7,8,3,0,0,0,10,7,0,2,11
20200910LTSS0,20200910,LT,SS,B,45,12,13,21,3,0,2,0,5,6,0,1,13
20200911LTSS0,20200911,LT,SS,B,37,12,12,14,2,0,1,0,8,8,1,2,9
20200912LTSK0,20200912,LT,SK,T,30,1,1,6,0,0,0,0,5,6,1,1,8
20200913LTSK0,20200913,LT,SK,T,29,1,1,5,0,0,0,0,6,1,2,0,8
20200915LTWO0,20200915,LT,WO,T,33,8,8,10,3,0,1,0,5,3,2,1,4
20200917LTLG0,20200917,LT,LG,T,34,1,1,8,2,0,0,0,0,5,2,3,6
20200918LTLG0,20200918,LT,LG,T,36,5,5,8,1,0,0,3,4,8,1,0,8
20200919LTNC0,20200919,LT,NC,B,30,5,5,7,1,0,2,0,8,8,1,0,9
20200920LTNC1,20200920,LT,NC,B,36,2,2,11,0,0,0,0,5,8,2,0,12
20200920LTNC0,20200920,LT,NC,B,35,1,2,8,1,0,1,0,3,9,1,1,9
20200922LTKT0,20200922,LT,KT,B,31,8,8,10,0,0,2,1,5,5,2,1,4
20200923LTKT0,20200923,LT,KT,B,33,4,5,9,1,0,1,0,8,7,3,2,9
20200721NCSS0,20200721,NC,SS,B,38,6,6,13,3,0,3,0,3,7,0,0,8
20200724NCKT0,20200724,NC,KT,T,32,3,3,7,2,0,1,1,3,11,0,2,7
20200725NCKT0,20200725,NC,KT,T,31,2,2,6,0,0,0,0,4,3,0,0,7
20200726NCKT0,20200726,NC,KT,T,32,4,4,7,1,0,2,1,1,7,1,3,3
