GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,START_CK,RELIEF_CK,INN2,BF,PA,AB,HIT,HR,KK,BB,R,ER,ERA
200726,WO,LT,B,67391,1,0,7.0,32.0,11.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,LG,OB,T,76650,0,1,3.0,17.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200726,LG,OB,T,67119,0,1,4.0,23.0,6.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,6.75
200726,LG,OB,T,69134,0,1,1.0,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200726,LG,OB,T,69159,0,1,4.0,13.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,HH,SK,B,50705,0,1,1.0,11.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,27.0
200726,OB,LG,B,62951,0,1,5.0,19.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200726,OB,LG,B,76329,0,1,1.0,8.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,OB,LG,B,61643,0,1,2.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,OB,LG,B,66291,1,0,19.0,101.0,26.0,23.0,5.0,0.0,4.0,2.0,4.0,2.0,2.84
200726,WO,LT,B,61268,0,1,5.0,33.0,7.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
200726,LG,OB,T,50126,1,0,15.0,101.0,23.0,19.0,5.0,1.0,4.0,4.0,2.0,2.0,3.6
200726,HH,SK,B,63765,0,1,2.0,28.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,13.5
200726,WO,LT,B,62360,0,1,3.0,13.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,WO,LT,B,64051,0,1,3.0,12.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,SK,HH,T,76350,0,1,3.0,15.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0
200726,SK,HH,T,61895,0,1,3.0,20.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,WO,LT,B,76430,0,1,3.0,16.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
200726,SK,HH,T,63894,0,1,2.0,18.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,SS,HT,T,63492,0,1,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,SS,HT,T,67421,0,1,0.0,9.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
200726,SS,HT,T,73117,0,1,2.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13.5
200726,SS,HT,T,60146,0,1,3.0,17.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200726,SS,HT,T,62920,0,1,3.0,18.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,SS,HT,T,50404,1,0,15.0,113.0,27.0,25.0,9.0,0.0,2.0,2.0,6.0,4.0,7.2
200726,HT,SS,B,66609,0,1,3.0,17.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,HT,SS,B,63638,0,1,4.0,17.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200726,HT,SS,B,50662,0,1,2.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200726,HT,SS,B,69620,0,1,1.0,13.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,27.0
200726,HT,SS,B,63628,0,1,1.0,12.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,SK,HH,T,62056,0,1,3.0,17.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200726,SK,HH,T,62869,1,0,15.0,99.0,20.0,18.0,3.0,1.0,3.0,2.0,3.0,3.0,5.4
200726,HH,SK,B,61156,0,1,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,HH,SK,B,67703,0,1,3.0,28.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
200726,WO,LT,B,68341,0,1,3.0,17.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,WO,LT,B,63348,0,1,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,LT,WO,T,69539,1,0,9.0,74.0,18.0,15.0,6.0,0.0,2.0,3.0,5.0,5.0,15.0
200726,LT,WO,T,76225,0,1,4.0,11.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,6.75
200726,LT,WO,T,79293,0,1,2.0,16.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
200726,LT,WO,T,50556,0,1,6.0,24.0,9.0,9.0,4.0,0.0,1.0,0.0,1.0,1.0,4.5
200726,LT,WO,T,64596,0,1,3.0,25.0,6.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,9.0
200726,HT,SS,B,62754,1,0,16.0,88.0,24.0,22.0,7.0,1.0,3.0,1.0,4.0,4.0,6.75
200726,KT,NC,B,65048,1,0,21.0,99.0,28.0,26.0,7.0,2.0,6.0,1.0,4.0,4.0,5.14
200726,KT,NC,B,68043,0,1,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,KT,NC,B,75342,0,1,3.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200726,NC,KT,T,65933,1,0,21.0,115.0,30.0,28.0,6.0,3.0,7.0,2.0,3.0,3.0,3.86
200726,NC,KT,T,64995,0,1,3.0,23.0,6.0,6.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
200726,HH,SK,B,69744,1,0,18.0,87.0,23.0,19.0,3.0,0.0,2.0,4.0,3.0,3.0,4.5
200726,HH,SK,B,62611,0,1,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
200726,HH,SK,B,68701,0,1,2.0,20.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,13.5
200726,KT,NC,B,64047,0,1,2.0,9.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200726,SK,HH,T,64893,0,1,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200727,HH,SK,B,67703,0,1,1.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200727,HH,SK,B,74857,0,1,6.0,32.0,7.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
200727,SK,HH,T,64861,1,0,15.0,103.0,19.0,14.0,1.0,0.0,2.0,5.0,3.0,3.0,5.4
200727,SK,HH,T,60768,0,1,3.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200727,SK,HH,T,62056,0,1,2.0,14.0,4.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0,27.0
200727,SK,HH,T,76350,0,1,1.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200727,SK,HH,T,61895,0,1,3.0,9.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200727,SK,HH,T,64893,0,1,3.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200727,HH,SK,B,50705,0,1,2.0,14.0,5.0,5.0,3.0,0.0,1.0,0.0,3.0,3.0,40.5
200727,HH,SK,B,63464,0,1,3.0,17.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200727,HH,SK,B,69748,1,0,15.0,67.0,20.0,18.0,6.0,1.0,2.0,1.0,2.0,2.0,3.6
200728,OB,WO,B,76329,0,1,2.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
200728,LG,SK,T,79140,0,1,3.0,17.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200728,LG,SK,T,No_Code,0,1,3.0,26.0,6.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,18.0
200728,LT,NC,B,73211,1,0,14.0,94.0,25.0,23.0,10.0,0.0,0.0,2.0,4.0,3.0,5.79
200728,LT,NC,B,64565,0,1,3.0,14.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200728,LT,NC,B,63512,0,1,1.0,16.0,5.0,5.0,4.0,1.0,0.0,0.0,4.0,4.0,108.0
200728,LT,NC,B,63543,0,1,4.0,28.0,5.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
200728,LT,NC,B,62528,0,1,2.0,18.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,13.5
200728,LT,NC,B,77591,0,1,2.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200728,NC,LT,T,60263,1,0,7.0,51.0,17.0,12.0,7.0,0.0,0.0,4.0,5.0,5.0,19.29
200728,NC,LT,T,68902,0,1,8.0,36.0,9.0,9.0,2.0,1.0,2.0,0.0,1.0,1.0,3.38
200728,NC,LT,T,61295,0,1,2.0,20.0,5.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,27.0
200728,NC,LT,T,63991,0,1,1.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200728,NC,LT,T,69962,0,1,3.0,18.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
200728,NC,LT,T,63959,0,1,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200728,NC,LT,T,64995,0,1,2.0,9.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200728,NC,LT,T,76118,0,1,2.0,23.0,5.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,40.5
200728,OB,WO,B,69045,1,0,18.0,112.0,26.0,23.0,5.0,0.0,3.0,2.0,2.0,1.0,1.5
200728,OB,WO,B,61643,0,1,1.0,13.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,27.0
