GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200722,HH,HT,B,71752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
200722,HH,HT,B,74729,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
200722,HH,HT,B,60343,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200722,HH,HT,B,99990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200722,HH,HT,B,62700,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200722,HH,HT,B,69766,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0
200722,HH,HT,B,68743,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200724,NC,KT,T,60566,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,62934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,78813,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
200724,NC,KT,T,62931,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,NC,KT,T,74465,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,62925,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200724,NC,KT,T,50923,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200724,NC,KT,T,62947,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
200724,NC,KT,T,63963,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
200724,KT,NC,B,64006,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,62907,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
200724,KT,NC,B,62802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,KT,NC,B,74339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,NC,KT,T,78122,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,73113,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
200724,KT,NC,B,64166,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
200724,KT,NC,B,78548,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
200724,KT,NC,B,64868,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200724,KT,NC,B,68050,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200724,KT,NC,B,67025,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
200724,NC,KT,T,73306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,HH,SK,B,74163,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
200724,HH,SK,B,61700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,HH,SK,B,50730,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,KT,NC,B,76313,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,SK,HH,T,71837,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200724,SK,HH,T,61353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,77463,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,62895,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
200724,SK,HH,T,67872,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
200724,SK,HH,T,65869,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
200724,SK,HH,T,75847,3.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0
200724,SK,HH,T,63450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,68868,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
200724,SK,HH,T,50854,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
200724,SK,HH,T,61869,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
