GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200826,OB,HT,B,L,27.0,177.0,41.0,15.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,7.0,7.0
200826,HT,OB,T,W,27.0,172.0,35.0,11.0,1.0,0.0,1.0,0.0,6.0,8.0,1.0,5.0,4.0
200826,SS,LG,B,L,27.0,138.0,36.0,10.0,1.0,0.0,4.0,0.0,3.0,7.0,0.0,8.0,8.0
200826,LG,SS,T,W,27.0,139.0,35.0,9.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,5.0,5.0
200826,LT,SK,B,W,27.0,131.0,29.0,4.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0
200826,SK,LT,T,L,24.0,140.0,28.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,3.0,3.0
200826,KT,WO,B,W,30.0,153.0,36.0,8.0,0.0,1.0,2.0,1.0,3.0,6.0,1.0,5.0,5.0
200826,WO,KT,T,L,27.0,210.0,36.0,10.0,2.0,0.0,1.0,1.0,7.0,6.0,2.0,6.0,6.0
200827,SK,HT,B,W,27.0,139.0,33.0,8.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,4.0,4.0
200827,HT,SK,T,L,24.0,140.0,36.0,14.0,4.0,0.0,2.0,1.0,3.0,6.0,0.0,10.0,5.0
200827,LG,KT,B,W,27.0,142.0,29.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0
200827,KT,LG,T,L,24.0,122.0,29.0,6.0,0.0,1.0,0.0,1.0,2.0,7.0,1.0,2.0,1.0
200827,NC,OB,B,W,27.0,151.0,37.0,13.0,6.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0
200827,OB,NC,T,L,24.0,163.0,35.0,13.0,2.0,1.0,1.0,0.0,5.0,9.0,1.0,8.0,8.0
200827,HH,SS,B,W,27.0,128.0,32.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0
200827,SS,HH,T,L,24.0,146.0,33.0,11.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,7.0,7.0
200827,LT,WO,B,L,27.0,152.0,40.0,15.0,5.0,0.0,3.0,2.0,4.0,2.0,2.0,11.0,9.0
200827,WO,LT,T,W,27.0,168.0,36.0,12.0,2.0,0.0,0.0,0.0,6.0,5.0,2.0,6.0,6.0
200828,LG,KT,B,W,33.0,164.0,36.0,5.0,1.0,0.0,2.0,1.0,4.0,13.0,1.0,5.0,5.0
200828,KT,LG,T,L,33.0,177.0,40.0,12.0,3.0,0.0,0.0,0.0,5.0,6.0,2.0,6.0,6.0
200828,NC,OB,B,L,27.0,197.0,46.0,18.0,1.0,0.0,4.0,0.0,6.0,4.0,0.0,11.0,11.0
200828,OB,NC,T,W,27.0,145.0,35.0,10.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,4.0,4.0
200828,LT,WO,B,L,27.0,196.0,36.0,11.0,3.0,0.0,2.0,5.0,7.0,7.0,0.0,8.0,7.0
200828,WO,LT,T,W,27.0,129.0,37.0,12.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,4.0,4.0
200829,LT,HH,B,W,27.0,166.0,38.0,11.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,7.0,7.0
200829,HH,LT,T,L,24.0,135.0,33.0,11.0,3.0,0.0,4.0,1.0,6.0,5.0,1.0,9.0,9.0
200829,LG,OB,B,D,27.0,140.0,35.0,11.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,5.0,5.0
200829,OB,LG,T,D,27.0,154.0,37.0,10.0,2.0,0.0,2.0,0.0,1.0,13.0,0.0,5.0,5.0
200829,NC,SK,B,W,27.0,135.0,35.0,9.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,5.0,5.0
200829,SK,NC,T,L,24.0,153.0,35.0,14.0,3.0,0.0,2.0,1.0,4.0,4.0,1.0,9.0,9.0
