GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200830,SS,WO,T,34.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,8.0
200830,WO,SS,B,34.0,3.0,3.0,11.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,10.0
200830,SK,NC,T,33.0,4.0,4.0,7.0,1.0,0.0,3.0,0.0,3.0,7.0,0.0,1.0,6.0
200830,NC,SK,B,28.0,6.0,7.0,7.0,2.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,7.0
200830,OB,LG,T,31.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0
200830,LG,OB,B,30.0,4.0,4.0,8.0,2.0,0.0,1.0,2.0,6.0,6.0,1.0,0.0,9.0
200830,HH,LT,T,33.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,6.0
200830,HT,KT,B,33.0,5.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,3.0,8.0
200830,LT,HH,B,34.0,5.0,6.0,10.0,3.0,0.0,0.0,2.0,3.0,6.0,1.0,1.0,7.0
200901,LT,KT,T,29.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,6.0
200901,HT,SS,B,31.0,6.0,6.0,9.0,2.0,0.0,1.0,0.0,9.0,9.0,0.0,1.0,10.0
200901,SS,HT,T,30.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0
200901,NC,WO,T,32.0,5.0,5.0,10.0,2.0,0.0,1.0,0.0,4.0,10.0,1.0,0.0,6.0
200901,WO,NC,B,33.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,6.0
200901,LG,SK,T,38.0,12.0,13.0,11.0,3.0,0.0,3.0,0.0,9.0,10.0,0.0,0.0,9.0
200901,SK,LG,B,35.0,5.0,5.0,10.0,0.0,0.0,0.0,1.0,6.0,8.0,1.0,2.0,10.0
200901,OB,HH,B,33.0,4.0,4.0,10.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,8.0
200901,HH,OB,T,29.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,2.0
200901,KT,LT,B,37.0,10.0,11.0,14.0,2.0,0.0,2.0,2.0,3.0,7.0,1.0,0.0,6.0
200902,NC,WO,T,34.0,4.0,4.0,9.0,3.0,0.0,1.0,0.0,4.0,5.0,2.0,1.0,7.0
